Z	A	Level	YI	YI uncert
31	82	0	6.26156E-05	0.000040074
49	127	1	6.25456E-05	2.81455E-05
49	132	0	0.000062266	0.000019925
44	113	0	6.05457E-05	3.87493E-05
54	144	0	6.04901E-05	3.87137E-05
36	85	1	0.000058906	9.4249E-06
53	142	0	5.85659E-05	3.74822E-05
49	131	1	5.55961E-05	3.55815E-05
49	131	0	5.55961E-05	3.55815E-05
48	125	0	5.54561E-05	3.54919E-05
61	154	0	5.41362E-05	3.46472E-05
61	154	1	0.000054136	0.000034647
57	140	0	5.21563E-05	0.00003338
45	114	0	5.02664E-05	3.21705E-05
59	154	0	5.02065E-05	3.21321E-05
47	116	0	4.74366E-05	3.03595E-05
49	125	0	0.000047227	0.000015113
49	125	1	4.72267E-05	1.51125E-05
60	156	0	4.70167E-05	3.00907E-05
43	111	0	0.000044907	0.00002874
38	101	0	4.48611E-05	2.87111E-05
46	114	0	0.000041557	0.000026597
56	138	0	0.000041157	0.000026341
31	77	0	4.08171E-05	0.000026123
53	131	0	3.91572E-05	4.3073E-06
49	123	0	3.91072E-05	2.50286E-05
42	110	0	3.88673E-05	0.000024875
45	115	0	0.000036287	0.000023224
59	146	0	3.62374E-05	0.000023192
48	121	1	3.61924E-05	2.31632E-05
48	121	0	0.000036192	0.000023163
30	78	0	3.56475E-05	2.28144E-05
48	128	0	3.55275E-05	2.27376E-05
47	118	0	0.000034158	7.8562E-06
46	118	0	3.17778E-05	2.03378E-05
30	77	0	0.000031438	0.00002012
49	130	2	3.14011E-05	2.00967E-05
49	130	1	3.14011E-05	2.00967E-05
49	130	0	0.000031401	0.000020097
35	93	0	0.000030843	0.00001974
62	156	0	0.000030308	0.000019397
47	118	1	2.99279E-05	1.91538E-05
61	157	0	0.000029338	0.000018776
55	136	0	0.000027688	1.77203E-05
55	136	1	0.000027688	0.00001772
46	120	0	0.000027098	0.000017343
62	157	0	2.66681E-05	1.70676E-05
33	79	0	2.65681E-05	1.19557E-05
39	103	0	2.58276E-05	1.65297E-05
47	121	0	2.57782E-05	0.000016498
37	87	0	0.000025018	0.000016012
49	121	0	0.000024718	7.9098E-06
48	119	0	2.44683E-05	1.56597E-05
41	97	1	0.000024468	5.6277E-06
62	158	0	2.39783E-05	1.53461E-05
37	85	0	0.000023748	0.000015199
37	98	0	0.000023588	0.000010615
41	107	0	0.000023137	0.000014808
45	112	0	0.000022958	0.000014693
48	119	1	0.000022488	0.000014393
55	147	0	2.23819E-05	1.43244E-05
32	87	0	2.19582E-05	1.40532E-05
32	85	0	2.12985E-05	0.000013631
54	133	1	0.000018859	0.00001207
30	76	0	1.83787E-05	1.17624E-05
44	114	0	1.72588E-05	1.10456E-05
48	118	0	1.71488E-05	1.09752E-05
58	153	0	1.70488E-05	1.09112E-05
49	124	1	1.69538E-05	1.08504E-05
49	124	0	1.69538E-05	1.08504E-05
49	126	0	0.000016479	0.000010547
49	126	1	1.64788E-05	1.05465E-05
30	79	0	1.63888E-05	7.37498E-06
36	98	0	1.63287E-05	1.04504E-05
47	117	0	1.51889E-05	3.49345E-06
47	117	1	1.51889E-05	3.49345E-06
47	115	1	0.000013699	8.76738E-06
62	155	0	1.30991E-05	8.38341E-06
46	113	0	1.16292E-05	7.44267E-06
31	76	0	1.04593E-05	6.69393E-06
34	81	0	0.000010379	2.3872E-06
56	149	0	1.03256E-05	6.60841E-06
57	151	0	1.02711E-05	6.5735E-06
60	148	0	9.9293E-06	6.3548E-06
61	152	2	9.27934E-06	5.93878E-06
61	152	0	9.27934E-06	5.93878E-06
61	152	1	9.2793E-06	5.9388E-06
47	114	0	9.16935E-06	5.86839E-06
45	111	0	8.79938E-06	5.6316E-06
45	116	0	8.68939E-06	5.56121E-06
51	126	1	8.59439E-06	5.50041E-06
51	126	2	8.59439E-06	5.50041E-06
44	109	0	8.5644E-06	5.4812E-06
44	109	1	8.56439E-06	5.48121E-06
49	122	1	8.37941E-06	5.36282E-06
49	122	2	8.37941E-06	5.36282E-06
49	122	0	8.3794E-06	5.3628E-06
50	123	0	8.03943E-06	3.61774E-06
30	75	0	7.66946E-06	4.90845E-06
47	116	1	7.6495E-06	4.8957E-06
62	159	0	7.4195E-06	4.7485E-06
61	158	0	7.0595E-06	4.51808E-06
43	112	0	6.85952E-06	4.39009E-06
59	155	0	6.72952E-06	4.3069E-06
54	133	0	6.65953E-06	3.99572E-07
34	91	0	6.65719E-06	4.2606E-06
51	126	0	6.5095E-06	4.1661E-06
61	151	0	6.4196E-06	4.1085E-06
50	135	0	6.26948E-06	4.01247E-06
32	77	0	5.95958E-06	3.81413E-06
39	104	0	5.6796E-06	3.63494E-06
47	124	0	5.5196E-06	3.5326E-06
41	96	0	5.43962E-06	3.48135E-06
34	80	0	4.88965E-06	3.12938E-06
60	157	0	4.8497E-06	3.1038E-06
41	109	0	4.83581E-06	3.09492E-06
62	154	0	4.72967E-06	3.02699E-06
49	119	0	4.71967E-06	1.51029E-06
45	117	0	4.64967E-06	2.97579E-06
47	120	1	4.3747E-06	2.7998E-06
47	120	0	4.37469E-06	2.7998E-06
46	119	0	4.34969E-06	2.7838E-06
48	117	1	3.7297E-06	0.000002387
50	122	0	3.6497E-06	2.3358E-06
50	121	0	3.57975E-06	2.29104E-06
47	122	1	3.3398E-06	2.1375E-06
47	122	0	3.33976E-06	2.13745E-06
59	145	0	3.3298E-06	2.1311E-06
44	104	0	3.2698E-06	2.0927E-06
36	84	0	3.24977E-06	2.07985E-06
49	121	1	3.23977E-06	2.07345E-06
50	123	1	3.09978E-06	9.9193E-07
47	123	0	2.74981E-06	1.75988E-06
44	115	0	2.5689E-06	1.6441E-06
30	74	0	2.5098E-06	1.6063E-06
49	123	1	2.5098E-06	1.6063E-06
55	135	1	2.45483E-06	1.57109E-06
55	135	0	2.45483E-06	1.57109E-06
30	80	0	2.4198E-06	1.5487E-06
42	111	0	0.000002279	1.4586E-06
62	160	0	2.10985E-06	1.3503E-06
49	120	2	2.0999E-06	1.3439E-06
49	120	0	2.09985E-06	1.34391E-06
49	120	1	2.09985E-06	1.34391E-06
31	75	0	1.9299E-06	1.2351E-06
47	115	0	1.9299E-06	1.2351E-06
31	83	0	1.91986E-06	1.22871E-06
58	142	0	1.7599E-06	1.1263E-06
38	102	0	1.7299E-06	1.1071E-06
52	128	0	1.71988E-06	5.50361E-07
49	133	0	1.70983E-06	1.09429E-06
35	94	0	1.65988E-06	1.06232E-06
39	91	0	1.6499E-06	1.0559E-06
39	91	1	1.64988E-06	1.05593E-06
43	101	0	1.60989E-06	1.03033E-06
63	159	0	1.5599E-06	9.9833E-07
53	130	0	1.54989E-06	9.9193E-07
33	89	0	1.53985E-06	9.85504E-07
43	113	0	1.39879E-06	8.95224E-07
40	93	0	1.3699E-06	8.76738E-07
56	137	1	1.32991E-06	8.5114E-07
32	76	0	1.2999E-06	8.3194E-07
33	78	0	1.2999E-06	2.9898E-07
46	112	0	1.27991E-06	8.19142E-07
63	158	0	1.27991E-06	8.19142E-07
48	117	0	1.11992E-06	7.16749E-07
41	95	0	1.05993E-06	6.78352E-07
61	159	0	1.05993E-06	6.78352E-07
29	75	0	1.00993E-06	6.46354E-07
42	98	0	9.57932E-07	6.13077E-07
58	154	0	9.1194E-07	5.8364E-07
63	160	0	9.02936E-07	5.77879E-07
41	108	0	8.99936E-07	5.75959E-07
32	77	1	8.90937E-07	5.702E-07
29	76	0	8.2794E-07	5.2988E-07
62	153	0	8.0094E-07	5.126E-07
38	88	0	7.67946E-07	4.91485E-07
54	145	0	7.1594E-07	4.582E-07
29	74	0	6.81952E-07	4.36449E-07
60	147	0	6.71953E-07	4.3005E-07
53	130	1	6.6595E-07	4.2621E-07
63	157	0	6.34955E-07	4.06371E-07
45	110	1	5.6496E-07	3.61574E-07
45	110	0	5.6496E-07	3.6157E-07
56	137	0	5.42962E-07	3.47495E-07
32	88	0	5.19959E-07	3.32774E-07
60	158	0	5.18963E-07	3.32137E-07
56	150	0	5.0197E-07	3.2126E-07
46	121	0	4.72967E-07	3.02699E-07
29	73	0	4.7097E-07	3.0142E-07
37	99	0	4.67542E-07	2.99227E-07
30	73	0	4.62967E-07	2.96299E-07
63	161	0	4.53968E-07	2.90539E-07
57	152	0	4.52968E-07	2.899E-07
29	77	0	4.44969E-07	2.8478E-07
54	132	0	4.2197E-07	2.70061E-07
34	92	0	4.16967E-07	2.66859E-07
59	156	0	4.0697E-07	2.6046E-07
51	138	0	3.91972E-07	2.50862E-07
35	82	0	3.82973E-07	2.45103E-07
45	118	0	3.6297E-07	2.323E-07
31	86	0	3.27977E-07	2.09905E-07
52	141	0	3.2408E-07	2.0741E-07
57	138	0	3.17978E-07	2.03506E-07
48	116	0	2.99979E-07	1.91986E-07
61	150	0	2.99979E-07	1.91986E-07
36	97	0	2.9698E-07	1.9006E-07
62	161	0	2.8298E-07	1.81107E-07
50	121	1	2.7898E-07	1.78547E-07
51	125	0	2.73981E-07	1.75348E-07
41	95	1	2.4798E-07	1.5871E-07
44	116	0	2.45983E-07	1.57429E-07
44	103	0	2.35983E-07	1.51029E-07
57	139	0	2.2698E-07	1.4527E-07
50	137	0	1.85985E-07	1.1903E-07
53	143	0	1.85895E-07	1.18973E-07
44	108	0	1.66988E-07	1.06872E-07
35	82	1	1.62988E-07	1.04313E-07
63	156	0	1.6199E-07	1.0367E-07
49	119	1	1.58989E-07	1.01753E-07
50	136	0	1.5699E-07	1.0047E-07
41	110	0	1.5299E-07	9.7913E-08
52	129	1	1.3999E-07	8.95937E-08
55	148	0	1.30991E-07	8.38341E-08
59	144	1	1.27991E-07	8.19142E-08
29	72	0	1.26991E-07	8.12743E-08
64	161	0	1.1099E-07	7.1035E-08
34	79	0	1.0999E-07	7.0395E-08
29	78	0	1.08992E-07	6.97551E-08
30	82	0	1.07992E-07	6.91151E-08
54	146	0	1.05992E-07	6.78346E-08
64	160	0	1.00993E-07	6.46354E-08
62	152	0	9.64932E-08	6.17556E-08
42	112	0	9.64683E-08	6.17397E-08
35	81	0	8.8594E-08	5.67E-08
51	124	0	7.60946E-08	4.87006E-08
28	72	0	7.5995E-08	4.8637E-08
61	160	0	7.5495E-08	4.8317E-08
31	74	1	7.29948E-08	4.67167E-08
31	74	0	7.29948E-08	4.67167E-08
28	73	0	7.1295E-08	4.56288E-08
43	114	0	7.0095E-08	4.4861E-08
63	162	0	6.9895E-08	4.4733E-08
64	162	0	6.78952E-08	4.34529E-08
47	130	0	6.6595E-08	4.2621E-08
36	83	0	6.62953E-08	4.2429E-08
30	72	0	6.09957E-08	3.90372E-08
52	129	0	5.7296E-08	3.6669E-08
43	100	0	5.5896E-08	3.5774E-08
48	115	1	5.5296E-08	1.7695E-08
51	123	0	5.1696E-08	3.3086E-08
49	118	0	5.05964E-08	3.23817E-08
58	141	0	4.98965E-08	3.19337E-08
44	107	0	4.9397E-08	3.1614E-08
46	122	0	4.76966E-08	3.05258E-08
46	111	1	4.7197E-08	3.0206E-08
28	74	0	4.57968E-08	2.93099E-08
32	75	1	4.55968E-08	2.91819E-08
39	90	1	4.4847E-08	2.8702E-08
39	90	0	4.48468E-08	2.8702E-08
28	71	0	4.34969E-08	2.7838E-08
33	77	0	4.3097E-08	2.75821E-08
61	149	0	3.86973E-08	2.47662E-08
55	134	1	3.85473E-08	2.46703E-08
55	134	0	3.8547E-08	2.467E-08
64	163	0	3.80973E-08	2.43823E-08
64	159	0	3.70974E-08	2.37423E-08
47	113	1	3.61974E-08	2.31664E-08
29	71	0	3.47975E-08	2.22704E-08
49	134	0	3.46975E-08	2.22064E-08
33	90	0	3.27811E-08	2.09799E-08
37	86	1	3.22477E-08	2.06385E-08
37	86	0	3.22477E-08	2.06385E-08
60	146	0	3.18977E-08	2.04146E-08
50	120	0	2.9998E-08	1.9199E-08
28	70	0	2.7798E-08	1.77907E-08
63	155	0	2.62981E-08	1.68308E-08
58	155	0	2.54979E-08	1.63187E-08
46	111	0	2.53982E-08	1.62549E-08
35	95	0	2.52348E-08	1.61503E-08
44	117	0	2.51894E-08	1.61212E-08
42	97	0	2.48982E-08	1.59349E-08
34	93	0	2.4571E-08	1.5725E-08
45	120	0	2.38983E-08	1.52949E-08
56	136	1	2.36483E-08	1.51349E-08
56	136	0	2.3648E-08	1.5135E-08
52	142	0	2.06984E-08	1.3247E-08
45	109	0	2.05985E-08	1.31831E-08
45	109	1	2.05985E-08	1.31831E-08
38	103	0	2.0575E-08	1.3168E-08
62	162	0	2.0299E-08	1.2991E-08
63	163	0	1.93986E-08	1.24151E-08
35	96	0	1.9099E-08	1.2223E-08
45	119	0	1.85987E-08	1.19032E-08
54	147	0	1.78301E-08	1.14113E-08
60	159	0	1.76987E-08	1.13272E-08
40	106	0	1.67988E-08	1.07512E-08
34	79	1	1.64988E-08	1.05593E-08
59	157	0	1.64988E-08	1.05593E-08
37	101	0	1.5752E-08	1.0081E-08
53	144	0	1.5615E-08	9.9937E-09
36	83	1	1.5499E-08	9.9193E-09
28	75	0	1.5299E-08	9.7913E-09
64	164	0	1.4899E-08	9.5353E-09
64	158	0	1.4799E-08	9.4713E-09
59	144	0	1.4299E-08	9.15135E-09
57	153	0	1.4199E-08	9.0871E-09
51	139	0	1.3999E-08	8.9591E-09
30	84	0	1.21991E-08	7.80745E-09
51	124	2	1.20991E-08	7.74345E-09
31	73	0	1.2099E-08	7.7435E-09
51	124	1	1.2099E-08	7.7435E-09
36	100	0	1.1499E-08	7.3595E-09
28	69	0	1.1199E-08	7.1675E-09
38	87	0	1.06992E-08	6.84752E-09
53	128	0	1.0399E-08	6.6555E-09
44	102	0	9.75931E-09	6.24596E-09
44	106	0	9.06936E-09	5.80439E-09
48	115	0	8.99936E-09	2.8798E-09
43	98	0	8.8894E-09	5.6892E-09
49	118	2	8.4494E-09	5.40762E-09
49	118	1	8.4494E-09	5.4076E-09
47	112	0	8.28941E-09	5.30523E-09
56	151	0	8.18226E-09	5.23665E-09
55	133	0	7.91944E-09	2.53422E-09
48	129	0	7.23949E-09	4.63327E-09
32	75	0	6.80952E-09	4.35809E-09
64	165	0	6.13957E-09	3.92932E-09
31	85	0	5.87943E-09	3.76284E-09
47	113	0	5.4196E-09	3.4686E-09
28	76	0	5.01965E-09	3.21257E-09
62	151	0	4.74966E-09	3.03979E-09
59	143	0	4.4997E-09	2.8798E-09
29	70	1	4.4597E-09	2.8542E-09
61	161	0	4.39969E-09	2.8158E-09
28	68	0	4.1897E-09	2.68141E-09
46	123	0	3.9897E-09	2.5534E-09
40	109	0	3.85235E-09	2.4655E-09
49	117	0	3.65974E-09	2.34223E-09
55	149	0	3.6255E-09	2.3203E-09
54	131	1	3.4798E-09	2.227E-09
52	124	0	3.41976E-09	2.18865E-09
30	71	1	3.2898E-09	2.1055E-09
27	69	0	3.24977E-09	2.07985E-09
65	165	0	2.8098E-09	1.7983E-09
46	124	0	2.72981E-09	1.74708E-09
38	87	1	2.5098E-09	1.6063E-09
27	68	0	2.46983E-09	1.58069E-09
34	78	0	2.46983E-09	1.58069E-09
33	91	0	2.3375E-09	1.496E-09
63	153	0	2.32984E-09	7.45547E-10
46	110	0	2.14985E-09	1.3759E-09
65	163	0	2.13985E-09	1.3695E-09
27	70	0	2.0899E-09	1.3375E-09
51	122	1	2.07985E-09	1.33111E-09
63	164	0	2.00986E-09	1.28631E-09
27	67	0	1.9999E-09	1.2799E-09
39	89	1	1.87987E-09	1.20311E-09
51	122	0	1.83987E-09	1.17752E-09
65	164	0	1.79987E-09	1.15192E-09
32	74	0	1.6699E-09	1.0687E-09
64	166	0	1.65988E-09	1.06232E-09
33	76	0	1.64988E-09	1.05593E-09
47	131	0	1.59446E-09	1.02046E-09
40	107	0	1.5577E-09	9.9693E-10
65	166	0	1.53989E-09	9.8553E-10
29	70	0	1.48989E-09	9.53533E-10
27	71	0	1.4799E-09	9.47133E-10
64	157	0	1.4799E-09	9.47133E-10
41	94	0	1.4599E-09	9.3433E-10
51	140	0	1.43888E-09	9.20883E-10
54	131	0	1.4199E-09	9.08736E-10
62	163	0	1.3699E-09	8.76738E-10
65	167	0	1.33991E-09	8.57539E-10
38	104	0	1.30991E-09	8.38341E-10
43	99	0	1.22991E-09	7.87144E-10
58	140	0	1.14992E-09	7.35948E-10
29	69	0	1.13992E-09	7.29548E-10
50	119	1	1.13992E-09	7.29548E-10
42	113	0	1.11432E-09	7.13162E-10
35	80	1	1.10992E-09	7.1035E-10
44	105	0	1.10992E-09	7.1035E-10
41	94	1	1.00993E-09	6.46354E-10
63	154	0	9.69931E-10	6.20756E-10
63	154	1	9.6993E-10	6.2076E-10
28	67	0	9.03936E-10	5.78519E-10
