Neutron energy =  2.5300E-02

PRODUCT      ZAFP     FPS           Y          DY
31-Ga- 72-M  31072.      1.  1.1950E-08  7.6479E-09
31-Ga- 72    31072.      0.  1.1950E-08  7.6479E-09
31-Ga- 73    31073.      0.  2.2100E-07  1.4144E-07
31-Ga- 74-M  31074.      1.  6.1999E-07  3.9680E-07
31-Ga- 74    31074.      0.  6.1999E-07  3.9680E-07
31-Ga- 75    31075.      0.  5.8299E-06  3.7311E-06
31-Ga- 76    31076.      0.  1.5400E-05  9.8559E-06
31-Ga- 77    31077.      0.  3.7849E-05  2.4224E-05
31-Ga- 78    31078.      0.  5.5119E-05  3.5276E-05
31-Ga- 79    31079.      0.  5.4929E-05  3.5155E-05
31-Ga- 80    31080.      0.  3.6260E-05  2.3206E-05
31-Ga- 81    31081.      0.  1.5110E-05  9.6703E-06
31-Ga- 82    31082.      0.  2.0200E-06  1.2928E-06
31-Ga- 83    31083.      0.  2.2900E-07  1.4656E-07
31-Ga- 84    31084.      0.  1.3500E-08  8.6399E-09
31-Ga- 85    31085.      0.  2.8598E-10  1.8302E-10
31-Ga- 86    31086.      0.  1.1800E-11  7.5519E-12
31-Ga- 87    31087.      0.  4.4888E-13  2.8728E-13
32-Ge- 66    32066.      0.  0.0000E+00  0.0000E+00
32-Ge- 67    32067.      0.  0.0000E+00  0.0000E+00
32-Ge- 68    32068.      0.  0.0000E+00  0.0000E+00
32-Ge- 69    32069.      0.  0.0000E+00  0.0000E+00
32-Ge- 70    32070.      0.  4.5499E-14  2.9120E-14
32-Ge- 71    32071.      0.  9.9999E-13  6.3999E-13
32-Ge- 71-M  32071.      1.  9.9999E-13  6.3999E-13
32-Ge- 72    32072.      0.  1.2900E-10  8.2559E-11
32-Ge- 73    32073.      0.  2.4000E-09  1.5360E-09
32-Ge- 73-M  32073.      1.  5.6199E-10  3.5968E-10
32-Ge- 74    32074.      0.  5.5999E-08  3.5840E-08
32-Ge- 75    32075.      0.  7.8799E-08  5.0431E-08
32-Ge- 75-M  32075.      1.  5.2699E-07  3.3728E-07
32-Ge- 76    32076.      0.  5.1199E-06  3.2768E-06
32-Ge- 77    32077.      0.  2.3220E-05  1.4861E-05
32-Ge- 77-M  32077.      1.  3.4700E-06  2.2208E-06
32-Ge- 78    32078.      0.  1.1817E-04  7.5628E-05
32-Ge- 79-M  32079.      1.  1.4880E-04  9.5234E-05
32-Ge- 79    32079.      0.  1.4880E-04  9.5234E-05
32-Ge- 80    32080.      0.  5.4887E-04  3.5128E-04
32-Ge- 81    32081.      0.  5.5116E-04  3.5274E-04
32-Ge- 82    32082.      0.  2.7102E-04  1.7345E-04
32-Ge- 83    32083.      0.  8.0389E-05  5.1449E-05
32-Ge- 84    32084.      0.  1.8550E-05  1.1872E-05
32-Ge- 85    32085.      0.  1.0800E-06  6.9119E-07
32-Ge- 86    32086.      0.  1.7500E-07  1.1200E-07
32-Ge- 87    32087.      0.  9.3394E-09  5.9772E-09
32-Ge- 88    32088.      0.  2.7200E-10  1.7408E-10
32-Ge- 89    32089.      0.  3.2402E-12  2.0738E-12
32-Ge- 90    32090.      0.  8.4677E-13  5.4193E-13
33-As- 69    33069.      0.  0.0000E+00  0.0000E+00
33-As- 71    33071.      0.  0.0000E+00  0.0000E+00
33-As- 72    33072.      0.  1.6500E-14  1.0560E-14
33-As- 73    33073.      0.  1.4300E-12  9.1519E-13
33-As- 74    33074.      0.  2.0300E-11  1.2992E-11
33-As- 74-M  33074.      1.  4.7299E-11  3.0272E-11
33-As- 75    33075.      0.  2.6800E-09  1.7152E-09
33-As- 76    33076.      0.  5.5299E-08  3.5392E-08
33-As- 77    33077.      0.  9.8899E-07  6.3295E-07
33-As- 78    33078.      0.  9.8799E-06  6.3231E-06
33-As- 79    33079.      0.  8.0149E-05  5.1295E-05
33-As- 80    33080.      0.  3.1945E-04  2.0444E-04
33-As- 81    33081.      0.  1.0258E-03  6.5650E-04
33-As- 82    33082.      0.  5.6756E-04  3.6324E-04
33-As- 82-M  33082.      1.  5.6756E-04  3.6324E-04
33-As- 83    33083.      0.  1.1531E-03  7.3799E-04
33-As- 84-M  33084.      1.  3.2841E-04  2.1018E-04
33-As- 84    33084.      0.  3.2841E-04  2.1018E-04
33-As- 85    33085.      0.  1.4317E-04  9.1628E-05
33-As- 86    33086.      0.  6.0029E-05  3.8419E-05
33-As- 87    33087.      0.  1.2670E-05  8.1087E-06
33-As- 88    33088.      0.  1.0200E-06  6.5279E-07
33-As- 89    33089.      0.  4.5496E-08  2.9118E-08
