Neutron energy =  2.5300E-02

PRODUCT      ZAFP     FPS           Y          DY
31-Ga- 68    31068.      0.  0.0000E+00  0.0000E+00
31-Ga- 69    31069.      0.  3.5099E-13  2.2463E-13
31-Ga- 70    31070.      0.  2.1999E-11  1.4080E-11
31-Ga- 71    31071.      0.  1.5500E-09  9.9197E-10
31-Ga- 72-M  31072.      1.  1.3350E-08  8.5438E-09
31-Ga- 72    31072.      0.  1.3350E-08  8.5438E-09
31-Ga- 73    31073.      0.  4.2199E-07  2.7007E-07
31-Ga- 74-M  31074.      1.  1.2800E-06  8.1918E-07
31-Ga- 74    31074.      0.  1.2800E-06  8.1918E-07
31-Ga- 75    31075.      0.  2.2439E-05  1.4361E-05
31-Ga- 76    31076.      0.  5.4529E-05  3.4898E-05
31-Ga- 77    31077.      0.  1.3793E-04  8.8273E-05
31-Ga- 78    31078.      0.  1.7055E-04  1.0915E-04
31-Ga- 79    31079.      0.  1.8841E-04  1.2059E-04
31-Ga- 80    31080.      0.  7.5238E-05  4.8152E-05
31-Ga- 81    31081.      0.  3.8389E-05  2.4569E-05
31-Ga- 82    31082.      0.  1.1330E-05  7.2510E-06
31-Ga- 83    31083.      0.  7.8098E-07  4.9983E-07
31-Ga- 84    31084.      0.  1.1900E-07  7.6158E-08
31-Ga- 85    31085.      0.  3.5197E-09  2.2526E-09
31-Ga- 86    31086.      0.  1.2200E-10  7.8078E-11
31-Ga- 87    31087.      0.  1.0345E-12  6.6208E-13
31-Ga- 88    31088.      0.  2.2376E-14  1.4320E-14
32-Ge- 66    32066.      0.  0.0000E+00  0.0000E+00
32-Ge- 67    32067.      0.  0.0000E+00  0.0000E+00
32-Ge- 68    32068.      0.  0.0000E+00  0.0000E+00
32-Ge- 69    32069.      0.  0.0000E+00  0.0000E+00
32-Ge- 70    32070.      0.  0.0000E+00  0.0000E+00
32-Ge- 71    32071.      0.  6.1199E-13  3.9167E-13
32-Ge- 71-M  32071.      1.  6.1199E-13  3.9167E-13
32-Ge- 72    32072.      0.  9.2498E-11  5.9199E-11
32-Ge- 73    32073.      0.  2.7299E-09  1.7472E-09
32-Ge- 73-M  32073.      1.  6.3998E-10  4.0959E-10
32-Ge- 74    32074.      0.  8.4898E-08  5.4335E-08
32-Ge- 75    32075.      0.  2.0699E-07  1.3248E-07
32-Ge- 75-M  32075.      1.  1.3900E-06  8.8958E-07
32-Ge- 76    32076.      0.  1.4390E-05  9.2094E-06
32-Ge- 77    32077.      0.  6.3568E-05  4.0684E-05
32-Ge- 77-M  32077.      1.  9.4998E-06  6.0799E-06
32-Ge- 78    32078.      0.  3.2749E-04  2.0960E-04
32-Ge- 79-M  32079.      1.  5.7024E-04  3.6495E-04
32-Ge- 79    32079.      0.  5.7024E-04  3.6495E-04
32-Ge- 80    32080.      0.  1.8087E-03  1.1576E-03
