Neutron energy =  5.0000E+05

PRODUCT      ZAFP     FPS           Y          DY
30-Zn- 86    30086.      0.  0.0000E+00  0.0000E+00
31-Ga- 66    31066.      0.  0.0000E+00  0.0000E+00
31-Ga- 67    31067.      0.  0.0000E+00  0.0000E+00
31-Ga- 68    31068.      0.  0.0000E+00  0.0000E+00
31-Ga- 69    31069.      0.  1.5301E-14  9.7925E-15
31-Ga- 70    31070.      0.  9.6405E-13  6.1699E-13
31-Ga- 71    31071.      0.  5.6103E-11  3.5906E-11
31-Ga- 72-M  31072.      1.  1.2251E-09  7.8404E-10
31-Ga- 72    31072.      0.  1.2251E-09  7.8404E-10
31-Ga- 73    31073.      0.  8.4904E-08  5.4339E-08
31-Ga- 74-M  31074.      1.  7.4004E-07  4.7362E-07
31-Ga- 74    31074.      0.  7.4004E-07  4.7362E-07
31-Ga- 75    31075.      0.  1.4201E-05  9.0884E-06
31-Ga- 76    31076.      0.  7.4284E-05  4.7542E-05
31-Ga- 77    31077.      0.  2.4573E-04  1.5727E-04
31-Ga- 78    31078.      0.  2.6600E-04  1.7024E-04
31-Ga- 79    31079.      0.  3.5235E-04  2.2550E-04
31-Ga- 80    31080.      0.  2.0489E-04  1.3113E-04
31-Ga- 81    31081.      0.  1.0068E-04  6.4432E-05
31-Ga- 82    31082.      0.  2.3091E-05  1.4778E-05
31-Ga- 83    31083.      0.  3.8702E-06  2.4769E-06
31-Ga- 84    31084.      0.  3.3802E-07  2.1633E-07
31-Ga- 85    31085.      0.  2.2400E-08  1.4336E-08
31-Ga- 86    31086.      0.  5.1003E-10  3.2642E-10
31-Ga- 87    31087.      0.  1.0087E-11  6.4554E-12
31-Ga- 88    31088.      0.  4.6392E-13  2.9691E-13
32-Ge- 66    32066.      0.  0.0000E+00  0.0000E+00
32-Ge- 67    32067.      0.  0.0000E+00  0.0000E+00
32-Ge- 68    32068.      0.  0.0000E+00  0.0000E+00
32-Ge- 69    32069.      0.  0.0000E+00  0.0000E+00
32-Ge- 70    32070.      0.  0.0000E+00  0.0000E+00
32-Ge- 71    32071.      0.  0.0000E+00  0.0000E+00
32-Ge- 71-M  32071.      1.  0.0000E+00  0.0000E+00
32-Ge- 72    32072.      0.  2.3501E-12  1.5041E-12
32-Ge- 73    32073.      0.  1.9401E-10  1.2417E-10
32-Ge- 73-M  32073.      1.  3.9802E-11  2.5473E-11
32-Ge- 74    32074.      0.  1.6901E-08  1.0816E-08
32-Ge- 75    32075.      0.  5.0902E-08  3.2578E-08
32-Ge- 75-M  32075.      1.  3.7302E-07  2.3873E-07
32-Ge- 76    32076.      0.  8.4304E-06  5.3955E-06
32-Ge- 77    32077.      0.  5.7933E-05  3.7077E-05
32-Ge- 77-M  32077.      1.  7.9004E-06  5.0562E-06
32-Ge- 78    32078.      0.  2.4415E-04  1.5626E-04
32-Ge- 79-M  32079.      1.  3.5564E-04  2.2761E-04
32-Ge- 79    32079.      0.  3.5564E-04  2.2761E-04
32-Ge- 80    32080.      0.  1.4000E-03  8.9598E-04
32-Ge- 81    32081.      0.  1.6019E-03  1.0252E-03
32-Ge- 82    32082.      0.  1.4160E-03  9.0622E-04
32-Ge- 83    32083.      0.  6.3289E-04  4.0505E-04
32-Ge- 84    32084.      0.  2.3482E-04  1.5029E-04
32-Ge- 85    32085.      0.  4.4512E-05  2.8488E-05
32-Ge- 86    32086.      0.  4.5302E-06  2.8993E-06
32-Ge- 87    32087.      0.  3.3701E-07  2.1568E-07
32-Ge- 88    32088.      0.  1.5500E-08  9.9202E-09
32-Ge- 89    32089.      0.  7.0336E-11  4.5015E-11
32-Ge- 90    32090.      0.  4.7708E-12  3.0533E-12
32-Ge- 91    32091.      0.  4.9040E-13  3.1386E-13
33-As- 69    33069.      0.  0.0000E+00  0.0000E+00
