Neutron energy =  5.0000E+05

PRODUCT      ZAFP     FPS           Y          DY
----------- ------- ------- ----------- -----------
23-V - 66    23066.      0.  9.7154E-18  6.2178E-18
23-V - 67    23067.      0.  9.8282E-19  6.2901E-19
24-Cr- 66    24066.      0.  4.7999E-13  3.0719E-13
24-Cr- 67    24067.      0.  3.5699E-14  2.2847E-14
24-Cr- 68    24068.      0.  0.0000E+00  0.0000E+00
24-Cr- 69    24069.      0.  8.3695E-17  5.3565E-17
24-Cr- 70    24070.      0.  0.0000E+00  0.0000E+00
25-Mn- 66    25066.      0.  1.9300E-10  1.2352E-10
25-Mn- 67    25067.      0.  5.9800E-11  3.8272E-11
25-Mn- 68    25068.      0.  1.0400E-11  6.6560E-12
25-Mn- 69    25069.      0.  1.3399E-12  8.5755E-13
25-Mn- 70    25070.      0.  1.1900E-13  7.6160E-14
25-Mn- 71    25071.      0.  0.0000E+00  0.0000E+00
25-Mn- 72    25072.      0.  1.4168E-16  9.0677E-17
26-Fe- 66    26066.      0.  1.3200E-08  8.4480E-09
26-Fe- 67    26067.      0.  9.5300E-09  6.0992E-09
26-Fe- 68    26068.      0.  6.6500E-09  4.2560E-09
26-Fe- 69    26069.      0.  2.1100E-09  1.3504E-09
26-Fe- 70    26070.      0.  7.9100E-10  5.0624E-10
26-Fe- 71    26071.      0.  1.2200E-10  7.8080E-11
26-Fe- 72    26072.      0.  6.9999E-12  4.4799E-12
26-Fe- 73    26073.      0.  2.5700E-13  1.6448E-13
26-Fe- 74    26074.      0.  1.4900E-14  9.5360E-15
26-Fe- 75    26075.      0.  1.1742E-15  7.5151E-16
26-Fe- 76    26076.      0.  0.0000E+00  0.0000E+00
27-Co- 66    27066.      0.  1.8700E-08  1.1968E-08
27-Co- 67    27067.      0.  4.6500E-08  2.9760E-08
27-Co- 68    27068.      0.  7.0300E-08  4.4992E-08
27-Co- 69    27069.      0.  8.4300E-08  5.3952E-08
27-Co- 70    27070.      0.  7.4500E-08  4.7680E-08
27-Co- 71    27071.      0.  4.6600E-08  2.9824E-08
27-Co- 72    27072.      0.  6.6700E-09  4.2688E-09
27-Co- 73    27073.      0.  1.0300E-09  6.5920E-10
27-Co- 74    27074.      0.  1.5800E-10  1.0112E-10
27-Co- 75    27075.      0.  1.8799E-11  1.2031E-11
27-Co- 76    27076.      0.  6.7400E-13  4.3136E-13
27-Co- 77    27077.      0.  2.3758E-14  1.5205E-14
28-Ni- 66    28066.      0.  7.0600E-09  4.5184E-09
28-Ni- 67    28067.      0.  3.5800E-08  2.2912E-08
28-Ni- 68    28068.      0.  1.8000E-07  1.1520E-07
28-Ni- 69    28069.      0.  4.3800E-07  2.8032E-07
28-Ni- 70    28070.      0.  1.3500E-06  8.6400E-07
28-Ni- 71    28071.      0.  1.8600E-06  1.1904E-06
28-Ni- 72    28072.      0.  1.0200E-06  6.5280E-07
28-Ni- 73    28073.      0.  3.7900E-07  2.4256E-07
28-Ni- 74    28074.      0.  2.4500E-07  1.5680E-07
