PRODUCT      ZAFP     FPS           Y          DY
31-Ga- 73    31073.      0.  4.2700E-08  2.7328E-08
31-Ga- 74-M  31074.      1.  1.2850E-07  8.2240E-08
31-Ga- 74    31074.      0.  1.2850E-07  8.2240E-08
31-Ga- 75    31075.      0.  2.8100E-06  1.7984E-06
31-Ga- 76    31076.      0.  8.5100E-06  5.4464E-06
31-Ga- 77    31077.      0.  4.3430E-05  2.7795E-05
31-Ga- 78    31078.      0.  4.4860E-05  2.8710E-05
31-Ga- 79    31079.      0.  4.0211E-04  2.5735E-04
31-Ga- 80    31080.      0.  1.8272E-04  1.1694E-04
31-Ga- 81    31081.      0.  6.7610E-05  4.3270E-05
31-Ga- 82    31082.      0.  4.4400E-06  2.8416E-06
31-Ga- 83    31083.      0.  2.3200E-07  1.4848E-07
31-Ga- 84    31084.      0.  3.4000E-09  2.1760E-09
31-Ga- 85    31085.      0.  9.4199E-11  6.0287E-11
31-Ga- 86    31086.      0.  5.7600E-13  3.6864E-13
31-Ga- 87    31087.      0.  1.1032E-14  7.0603E-15
32-Ge- 66    32066.      0.  0.0000E+00  0.0000E+00
32-Ge- 67    32067.      0.  0.0000E+00  0.0000E+00
32-Ge- 68    32068.      0.  0.0000E+00  0.0000E+00
32-Ge- 69    32069.      0.  0.0000E+00  0.0000E+00
32-Ge- 70    32070.      0.  0.0000E+00  0.0000E+00
32-Ge- 71    32071.      0.  3.1300E-14  2.0032E-14
32-Ge- 71-M  32071.      1.  3.1300E-14  2.0032E-14
32-Ge- 72    32072.      0.  1.3500E-11  8.6400E-12
32-Ge- 73    32073.      0.  2.9400E-10  1.8816E-10
32-Ge- 73-M  32073.      1.  6.8900E-11  4.4096E-11
32-Ge- 74    32074.      0.  1.5100E-08  9.6640E-09
32-Ge- 75    32075.      0.  4.5800E-08  2.9312E-08
32-Ge- 75-M  32075.      1.  3.0700E-07  1.9648E-07
32-Ge- 76    32076.      0.  6.1500E-06  3.9360E-06
32-Ge- 77    32077.      0.  5.0170E-05  3.2109E-05
32-Ge- 77-M  32077.      1.  7.5000E-06  4.8000E-06
32-Ge- 78    32078.      0.  3.1345E-04  2.0061E-04
32-Ge- 79-M  32079.      1.  2.5439E-03  1.6281E-03
32-Ge- 79    32079.      0.  2.5439E-03  1.6281E-03
32-Ge- 80    32080.      0.  1.3557E-02  4.3381E-03
32-Ge- 81    32081.      0.  1.0572E-02  3.3830E-03
32-Ge- 82    32082.      0.  4.7004E-03  3.0083E-03
32-Ge- 83    32083.      0.  5.9937E-04  3.8360E-04
32-Ge- 84    32084.      0.  6.4200E-05  4.1088E-05
32-Ge- 85    32085.      0.  4.2400E-06  2.7136E-06
32-Ge- 86    32086.      0.  1.9600E-07  1.2544E-07
32-Ge- 87    32087.      0.  2.6800E-09  1.7152E-09
32-Ge- 88    32088.      0.  2.6400E-11  1.6896E-11
32-Ge- 89    32089.      0.  1.1861E-13  7.5909E-14
32-Ge- 90    32090.      0.  1.3314E-14  8.5213E-15
33-As- 69    33069.      0.  0.0000E+00  0.0000E+00
33-As- 71    33071.      0.  0.0000E+00  0.0000E+00
33-As- 72    33072.      0.  0.0000E+00  0.0000E+00
33-As- 73    33073.      0.  2.0300E-14  1.2992E-14
33-As- 74    33074.      0.  6.4300E-13  4.1152E-13
33-As- 74-M  33074.      1.  1.5000E-12  9.6000E-13
33-As- 75    33075.      0.  3.7200E-10  2.3808E-10
33-As- 76    33076.      0.  1.4800E-08  9.4720E-09
33-As- 77    33077.      0.  9.3300E-07  5.9712E-07
33-As- 78    33078.      0.  1.0110E-05  6.4704E-06
33-As- 79    33079.      0.  9.1174E-04  5.8351E-04
33-As- 80    33080.      0.  4.2669E-03  2.7308E-03
33-As- 81    33081.      0.  1.7667E-02  5.6535E-03
33-As- 82    33082.      0.  7.3224E-03  4.6864E-03
33-As- 82-M  33082.      1.  7.3224E-03  4.6863E-03
33-As- 83    33083.      0.  1.1725E-02  3.7519E-03
33-As- 84-M  33084.      1.  1.3661E-03  8.7429E-04
33-As- 84    33084.      0.  1.3661E-03  8.7429E-04
33-As- 85    33085.      0.  1.2046E-03  7.7093E-04
33-As- 86    33086.      0.  1.3291E-04  8.5063E-05
33-As- 87    33087.      0.  1.3440E-05  8.6016E-06
33-As- 88    33088.      0.  3.2900E-07  2.1056E-07
33-As- 89    33089.      0.  1.2700E-08  8.1279E-09
33-As- 90    33090.      0.  1.0481E-09  6.7081E-10
33-As- 91    33091.      0.  8.9324E-13  5.7167E-13
33-As- 92    33092.      0.  1.0653E-14  6.8177E-15
34-Se- 72    34072.      0.  0.0000E+00  0.0000E+00
34-Se- 73    34073.      0.  0.0000E+00  0.0000E+00
34-Se- 73-M  34073.      1.  0.0000E+00  0.0000E+00
34-Se- 74    34074.      0.  0.0000E+00  0.0000E+00
34-Se- 75    34075.      0.  3.8900E-14  2.4896E-14
34-Se- 76    34076.      0.  1.1500E-11  7.3600E-12
34-Se- 77    34077.      0.  2.3600E-10  1.5104E-10
34-Se- 77-M  34077.      1.  1.5800E-09  1.0112E-09
34-Se- 78    34078.      0.  1.3900E-07  8.8960E-08
34-Se- 79    34079.      0.  2.4250E-05  1.5520E-05
34-Se- 79-M  34079.      1.  3.6200E-06  2.3168E-06
34-Se- 80    34080.      0.  8.1876E-04  5.2401E-04
34-Se- 81    34081.      0.  8.4845E-04  5.4301E-04
34-Se- 81-M  34081.      1.  5.6781E-03  2.5551E-03
34-Se- 82    34082.      0.  2.9258E-02  1.3166E-02
34-Se- 83    34083.      0.  3.4106E-02  1.0914E-02
34-Se- 83-M  34083.      1.  8.0001E-03  5.1201E-03
34-Se- 84    34084.      0.  5.2983E-02  1.2186E-02
34-Se- 85    34085.      0.  2.1935E-02  7.0193E-03
34-Se- 85-M  34085.      1.  2.1930E-02  7.0175E-03
34-Se- 86    34086.      0.  3.0416E-02  9.7333E-03
34-Se- 87    34087.      0.  6.8614E-03  4.3913E-03
34-Se- 88    34088.      0.  1.1836E-03  7.5749E-04
34-Se- 89    34089.      0.  1.1071E-04  7.0854E-05
34-Se- 90    34090.      0.  8.1090E-06  5.1897E-06
34-Se- 91    34091.      0.  2.1700E-07  1.3888E-07
34-Se- 92    34092.      0.  3.5200E-09  2.2528E-09
34-Se- 93    34093.      0.  4.1840E-12  2.6777E-12
34-Se- 94    34094.      0.  1.0600E-13  6.7840E-14
34-Se- 95    34095.      0.  6.4189E-15  4.1081E-15
34-Se- 96    34096.      0.  0.0000E+00  0.0000E+00
35-Br- 75    35075.      0.  0.0000E+00  0.0000E+00
35-Br- 77    35077.      0.  0.0000E+00  0.0000E+00
35-Br- 77-M  35077.      1.  1.6800E-14  1.0752E-14
